vdc ,ioff*v("/net3" ?result "dc-dc")*10
0.000,0.000
10.00E-3,6.598E-15
20.00E-3,27.37E-15
30.00E-3,62.28E-15
40.00E-3,108.7E-15
50.00E-3,162.5E-15
60.00E-3,220.3E-15
70.00E-3,281.1E-15
80.00E-3,344.8E-15
90.00E-3,411.9E-15
100.0E-3,482.8E-15
110.0E-3,557.6E-15
120.0E-3,636.6E-15
130.0E-3,719.9E-15
140.0E-3,807.7E-15
150.0E-3,900.1E-15
160.0E-3,997.2E-15
170.0E-3,1.099E-12
180.0E-3,1.206E-12
190.0E-3,1.318E-12
200.0E-3,1.435E-12
210.0E-3,1.557E-12
220.0E-3,1.685E-12
230.0E-3,1.819E-12
240.0E-3,1.958E-12
250.0E-3,2.103E-12
260.0E-3,2.254E-12
270.0E-3,2.411E-12
280.0E-3,2.575E-12
290.0E-3,2.745E-12
300.0E-3,2.922E-12
310.0E-3,3.105E-12
320.0E-3,3.296E-12
330.0E-3,3.493E-12
340.0E-3,3.698E-12
350.0E-3,3.911E-12
360.0E-3,4.131E-12
370.0E-3,4.359E-12
380.0E-3,4.595E-12
390.0E-3,4.840E-12
400.0E-3,5.093E-12
410.0E-3,5.355E-12
420.0E-3,5.626E-12
430.0E-3,5.906E-12
440.0E-3,6.196E-12
450.0E-3,6.496E-12
460.0E-3,6.805E-12
470.0E-3,7.125E-12
480.0E-3,7.456E-12
490.0E-3,7.797E-12
500.0E-3,8.150E-12
510.0E-3,8.514E-12
520.0E-3,8.890E-12
530.0E-3,9.278E-12
540.0E-3,9.679E-12
550.0E-3,10.09E-12
560.0E-3,10.52E-12
570.0E-3,10.96E-12
580.0E-3,11.41E-12
590.0E-3,11.88E-12
600.0E-3,12.37E-12
610.0E-3,12.87E-12
620.0E-3,13.38E-12
630.0E-3,13.91E-12
640.0E-3,14.46E-12
650.0E-3,15.02E-12
660.0E-3,15.60E-12
670.0E-3,16.20E-12
680.0E-3,16.82E-12
690.0E-3,17.46E-12
700.0E-3,18.12E-12
710.0E-3,18.80E-12
720.0E-3,19.50E-12
730.0E-3,20.22E-12
740.0E-3,20.96E-12
750.0E-3,21.72E-12
760.0E-3,22.51E-12
770.0E-3,23.33E-12
780.0E-3,24.16E-12
790.0E-3,25.03E-12
800.0E-3,25.92E-12
810.0E-3,26.84E-12
820.0E-3,27.78E-12
830.0E-3,28.76E-12
840.0E-3,29.76E-12
850.0E-3,30.79E-12
860.0E-3,31.86E-12
870.0E-3,32.96E-12
880.0E-3,34.09E-12
890.0E-3,35.26E-12
900.0E-3,36.46E-12
910.0E-3,37.70E-12
920.0E-3,38.98E-12
930.0E-3,40.29E-12
940.0E-3,41.65E-12
950.0E-3,43.05E-12
960.0E-3,44.49E-12
970.0E-3,45.97E-12
980.0E-3,47.50E-12
990.0E-3,49.07E-12
1.000,50.69E-12
1.010,52.37E-12
1.020,54.09E-12
1.030,55.86E-12
1.040,57.69E-12
1.050,59.58E-12
1.060,61.52E-12
1.070,63.52E-12
1.080,65.58E-12
1.090,67.71E-12
1.100,69.90E-12
1.110,72.15E-12
1.120,74.48E-12
1.130,76.87E-12
1.140,79.34E-12
1.150,81.88E-12
1.160,84.50E-12
1.170,87.20E-12
1.180,89.98E-12
1.190,92.84E-12
1.200,95.80E-12
